zip,donations,total,total_population
70960,1,1,NA
71990,1,1,NA
72605,1,1,NA
75177,1,1,NA
75690,1,1,NA
76381,1,1,NA
79023,1,1,NA
79644,1,1,NA
81779,1,1,NA
83486,1,1,NA
86119,1,1,NA
87963,1,1,NA
88952,1,1,NA
89707,1,1,NA
92348,1,1,NA
97645,1,1,NA
98598,1,1,NA
98677,1,1,NA
